"","Baseline Read","File Auditing Read","DI File Auditing Read","DI Scaning Read","DI File Audit and Scan Read","Baseline Write","File Auditing Write","DI File Auditing Write","DI Scaning Write","DI File Audit and Scan Write"
"47","3021","2777","3142","3625","3392","530","656","2599","3113","2750"
"48","2885","3160","3157","2996","3585","540","559","1988","2625","2499"
"49","2627","3272","3970","4343","4325","519","644","2484","3241","2825"
"50","1864","4623","4294","4601","4311","560","670","2297","2819","2509"
"51","2104","4343","4419","4090","3904","552","609","2281","2603","2324"
"52","1538","4240","4446","4632","4701","482","652","2769","3506","3738"
"53","3225","4000","4442","3867","5021","585","599","1904","2564","9438"
"54","3109","3761","4172","4340","4425","497","626","2477","3306","4174"
"55","2530","3308","3950","3526","3725","533","693","2287","2810","2772"
"56","2642","3708","4208","4543","4962","543","585","2264","3135","2462"
"57","2552","4550","4284","4229","4627","668","726","2421","3076","2648"
"58","2936","3605","4080","3739","4303","546","647","2304","2647","2225"
"59","2871","3884","4517","4624","4595","495","632","2494","3330","2769"
"60","2721","3329","3671","3831","4056","525","557","2227","2636","2135"
"61","2577","2996","3765","5242","3427","514","922","2709","5118","3036"
"62","2775","2667","3168","3272","3390","505","665","2412","2943","2439"
"63","3187","2385","2948","3151","2941","552","639","2372","2505","2260"
"64","2632","3324","3471","4634","3713","471","633","2502","3612","2888"
"65","2030","3002","3884","3722","3587","565","713","2202","2426","2053"
"66","1542","4183","4172","5399","5012","508","20010","2400","3049","2841"
"67","2309","5746","4308","4736","4575","525","21508","2149","2832","2415"
"68","2180","3482","3835","4240","4046","539","704","2320","2873","2498"
"69","2784","3569","3834","4622","4137","1904","627","2353","2803","2815"
"70","3089","3174","4079","3839","3788","569","596","1917","2676","2509"
"71","2821","4328","4243","4836","4021","508","645","2591","2976","2681"
"72","2881","3751","3921","4011","3634","541","548","1866","2684","2197"
"73","2975","3833","4897","4581","4799","538","563","2703","2911","2893"
"74","2621","3838","4853","4551","4228","507","562","2234","2873","2413"
"75","3286","3524","4256","4236","4156","586","519","2173","3770","2227"
"76","2172","5124","6354","5630","6094","464","600","2811","3488","2809"
"77","3846","5170","5313","4393","5138","1757","542","2037","2391","1959"
"78","2878","6136","6986","7670","7315","497","560","2553","3629","2881"
"79","4248","6911","6573","6119","6595","605","583","2106","2617","2172"
"80","3713","6079","6110","6254","6875","529","534","2266","2634","2280"
"81","4269","5287","5142","5463","7377","592","609","2348","2780","2619"
"82","4990","3904","4663","3985","4759","544","519","2055","2986","2108"
"83","3901","4096","5036","22891","5293","495","584","2532","44692","2842"
"84","4438","3810","4211","4017","3924","543","555","2012","2677","2102"
"85","3623","3065","3929","5040","4407","538","623","2530","3266","2834"
"86","3912","3564","3958","3895","3975","4191","552","2364","3102","2375"
"87","3595","3351","3869","3741","4261","571","568","2042","2681","2205"
"88","3243","4134","4729","4762","4718","472","619","2868","3331","2726"
"89","3124","2956","4146","3803","3748","663","596","2079","2395","2586"
"90","2882","3533","5161","5347","4721","497","567","2435","3331","2634"
"91","2800","3527","4368","4434","3836","568","624","2358","2652","2254"
"92","3415","3769","4542","4350","4444","1103","536","2442","3179","2290"
"93","3500","2985","3490","4022","3810","504","587","2210","3293","2538"
"94","3298","2070","2657","2739","2925","550","533","2038","2685","2051"
"95","2855","3214","3915","4170","4142","513","608","2463","2996","2545"
"96","2307","5158","3495","3819","3945","603","572","1922","2419","2100"
"97","2067","3310","5188","5161","4734","544","600","2516","3339","2722"
"98","2335","4001","5112","3867","4783","529","553","2575","3051","2494"
"99","3366","3560","4248","4298","4167","590","542","2218","2784","2464"
"100","2652","4529","4822","5426","4999","509","635","2837","3534","2833"
"101","3483","3442","4852","3783","4096","668","527","2119","2691","2220"
"102","2594","3449","4358","4199","4168","503","612","2805","3161","2652"
"103","3097","3759","3798","3435","3813","579","556","2566","2935","2689"
"104","3782","3706","5006","4764","5108","562","581","2385","2954","2380"
"105","2786","4176","4562","4846","5207","548","597","2512","2925","2609"
"106","2714","3640","4311","4243","3866","540","548","2084","2953","2195"
"107","2256","4419","5122","5147","5471","503","634","2521","3383","2816"
"108","3463","3440","4932","4133","4579","537","622","2138","2728","2157"
"109","2694","3142","3620","3968","3552","525","621","2368","3301","2978"
"110","3221","2559","3095","2845","3152","524","555","2114","2803","2343"
"111","3574","2164","3931","3837","3317","596","518","2425","2845","2381"
"112","3029","3737","4830","4643","5012","487","594","2679","3307","2788"
"113","2461","4610","5105","4382","4658","579","540","2029","2471","2027"
"114","1830","4187","5154","5236","4369","488","561","2461","3520","2637"
"115","2622","4076","4935","4042","4376","550","625","2142","2850","2345"
"116","3188","3558","4835","5051","4788","550","533","2339","3123","2369"
"117","3768","3535","3963","3983","3969","561","630","2322","2812","2612"
"118","3292","2626","3643","3080","3237","537","548","2169","2748","2142"
"119","3093","3291","4744","4199","4378","512","576","2520","3339","2782"
"120","2993","3853","4110","3792","4355","562","555","1924","2584","2044"
