"","Baseline Read","File Auditing Read","DI File Auditing Read","DI Scaning Read","DI File Audit and Scan Read","Baseline Write","File Auditing Write","DI File Auditing Write","DI Scaning Write","DI File Audit and Scan Write"
"1","431","1224","5472","1070","2990","443","621","1758","2342","1912"
"2","466","3356","4964","3329","4598","456","613","3028","3464","3171"
"3","442","3852","4298","4285","4281","625","546","2635","3139","3115"
"4","410","4343","3828","3182","3772","739","581","2113","2451","2178"
"5","2269","4843","4542","4414","4961","608","620","2821","3685","2915"
"6","2209","4214","3726","3444","4178","593","547","1957","2527","2153"
"7","2934","4135","4302","4235","5139","590","585","2537","3125","2743"
"8","2736","3087","4033","3388","4357","555","595","2129","2725","2568"
"9","2472","3966","4481","3480","4060","505","653","2529","2925","2156"
"10","2642","3751","4098","3846","5428","556","587","2121","3022","2832"
"11","2445","4146","4876","3370","4192","507","633","2496","2627","2359"
"12","2982","4182","18327","5027","5013","530","623","51036","7853","2711"
"13","2830","3795","12268","3660","4487","543","575","28609","4394","2489"
"14","2718","3156","4137","3846","4706","514","624","2612","3482","2964"
"15","4012","3297","3513","3553","3725","565","614","2131","2859","2601"
"16","2845","2984","3926","3078","3537","472","626","2767","2484","2316"
"17","2811","2372","3527","3554","3893","571","590","2080","3333","3047"
"18","2465","3105","4325","3218","3447","499","592","2345","2712","2290"
"19","2314","4159","4160","4023","5050","556","619","2695","3142","2969"
"20","2183","3667","4234","3735","4439","534","555","2176","2724","2508"
"21","2459","4538","4378","4295","4770","534","676","2546","2759","2373"
"22","3471","3274","3960","4238","5012","563","575","2258","3193","2844"
"23","3226","3848","4022","3419","4071","503","546","2909","2787","2570"
"24","3138","3750","3962","3737","4318","538","630","2286","3189","2754"
"25","2747","3864","4171","3388","4556","525","597","2260","2841","2964"
"26","3001","4579","4951","4414","4826","540","631","2401","3066","2430"
"27","3037","4357","3956","4492","4185","582","566","1816","3058","2212"
"28","2659","4371","4417","3809","4879","468","608","2516","2345","2708"
"29","3504","4280","4202","4390","4217","604","592","1925","3100","2015"
"30","2765","3229","3939","3280","4081","537","564","2430","2405","2728"
"31","3052","3254","3580","3576","3784","559","769","1978","2792","2198"
"32","3073","2227","3163","3197","3120","568","547","2188","2608","2390"
"33","2315","3863","3868","3434","3931","515","642","2244","2708","2588"
"34","1990","3717","3640","3948","3733","564","559","2214","2834","2327"
"35","2289","4204","4657","3546","4795","530","646","2493","2901","2596"
"36","2310","4361","4767","4843","4787","576","578","1909","3026","2304"
"37","2568","4067","4488","3517","4248","551","623","2552","2568","2814"
"38","3205","3885","4094","4090","4306","532","601","2290","3013","2354"
"39","3043","2856","3560","4026","3383","561","535","1893","2595","2091"
"40","2725","3499","3707","2798","4346","465","628","2550","2614","2915"
"41","2758","3404","4149","4199","3474","597","638","1892","3279","2146"
"42","2681","3653","3904","3877","4658","497","549","2596","2519","2601"
"43","2416","4861","4377","4696","4400","546","589","2300","3385","2604"
"44","2465","4108","4647","3622","4309","527","569","2409","2576","2243"
"45","2638","3982","3683","4526","4506","509","686","2327","2812","2529"
"46","3176","3280","3246","3351","3377","546","579","2350","2636","2386"
