"","Baseline Read","File Auditing Read","DI File Auditing Read","DI Scaning Read","DI File Audit and Scan Read","Baseline Write","File Auditing Write","DI File Auditing Write","DI Scaning Write","DI File Audit and Scan Write"
"97","2087","2899","2921","2556","2983","474","615","1465","2120","1608"
"98","1496","3176","4088","3192","3333","443","620","2034","2479","1549"
"99","3417","3305","2941","2276","2807","471","577","1643","2059","2101"
"100","2979","3066","3020","3126","3851","494","676","1777","2212","1756"
"101","3417","2540","2394","2634","3316","471","575","1889","2180","1648"
"102","4128","2240","2642","2937","2442","451","612","1901","2023","1640"
"103","2808","2564","2973","2472","2810","466","572","1566","2043","1823"
"104","2589","2672","2840","2649","2832","538","594","1756","2058","1514"
"105","2979","3917","3141","3079","3166","484","640","1790","2329","1963"
"106","2482","2849","2999","2830","2995","461","592","2045","2008","1637"
"107","2462","3462","3753","3416","4016","447","645","1743","2358","1982"
"108","3814","3155","3026","2812","3353","443","696","1750","2231","1910"
"109","2844","2333","2545","2409","3242","492","600","1705","2129","1488"
"110","2449","2329","2134","2078","2987","454","644","1539","2201","1956"
"111","3607","2130","2094","1832","2424","498","552","1653","2033","1536"
"112","3272","3088","3040","2967","3247","450","621","1893","2204","1661"
"113","2615","3278","2986","2633","3253","505","586","1845","2172","1728"
"114","1776","2864","3020","2903","3933","455","595","1867","2217","1647"
"115","1939","3314","3174","2926","4193","492","620","1608","1960","1707"
"116","3647","3630","3081","2581","3091","464","620","1425","2124","1604"
"117","3083","2799","3206","2243","3285","486","607","1748","2164","1830"
"118","3540","1978","2239","2100","2954","482","600","1580","2136","1920"
"119","2781","2886","3090","2936","2974","466","594","1724","2055","1907"
"120","3156","2997","2340","2478","3912","464","577","1455","2204","1920"
