Timestamp,SMB1 Ops/sec,SMB2 Ops/sec,VSPfs00 Ops/sec,VSPfs00 CIFS Read Resp Time,VSPfs00 CIFS Write Resp Time,NVRAM Allocs,Bossock Fibers,MFB,MMB,NibRX Busy,NibTX Busy,NibTCP Busy,NICC Busy,FDP Busy,TDP Busy,FSA Busy,WLOG Busy,MBI Busy,WDIR Busy,WFILE Busy,WLOG Busy,OBJ Busy,SI Busy,Eth RX,Eth TX,FC RX,FC TX,Port1 Disk Read,Port1 Disk Write,Port2 Disk Read,Port2 Disk Write,Port3 Disk Read,Port3 Disk Write,Port4 Disk Read,Port4 Disk Write
2015-10-25 10:28:53 -0700,0,3637,3170,867,2276,0,1,3,77,2,3,1,1,1,1,1,3,0,1,2,3,1,2,130,186,81,0,2371584,0,6445568,0,284160,0,1059328,0
2015-10-25 10:29:04 -0700,0,3653,3211,2759,2334,0,1,3,85,2,3,1,0,1,1,0,2,0,1,1,2,1,2,48,126,104,0,3567104,0,1581056,0,3528192,0,4364800,0
2015-10-25 10:29:14 -0700,0,3986,3422,2356,2322,0,1,3,82,2,3,1,1,1,1,0,3,0,1,2,3,1,2,114,156,107,0,3021312,0,3782144,0,1399808,0,5261824,0
2015-10-25 10:29:24 -0700,0,5785,5262,3356,2307,0,1,4,87,3,3,2,1,1,2,1,4,1,1,3,4,2,3,159,265,202,0,8005120,0,10174976,0,4834816,0,2240000,0
2015-10-25 10:29:34 -0700,0,4376,3927,2827,2390,0,1,6,83,2,3,1,0,1,3,4,3,0,1,2,3,4,6,45,127,99,683,2542080,22347776,3130880,25882624,2895360,22417408,3867136,14811136
2015-10-25 10:29:44 -0700,0,5080,4780,2395,2055,0,1,4,84,3,3,2,1,1,2,1,4,1,1,3,4,2,4,69,248,307,0,17320960,0,5737984,0,6782976,0,8600064,0
2015-10-25 10:29:54 -0700,0,4435,4144,2761,2342,0,1,3,84,2,3,2,1,1,2,1,3,1,1,2,3,1,2,273,135,129,0,3140608,0,8799744,0,1608192,0,2621952,0
2015-10-25 10:30:04 -0700,0,3670,3309,2487,2485,0,1,5,83,1,3,1,0,1,3,3,3,0,1,2,3,4,5,74,104,85,691,1707008,25157632,3957248,27701248,2621440,16760832,2396672,16781312
2015-10-25 10:30:14 -0700,0,4793,4367,2909,2146,0,1,3,86,2,3,2,1,1,2,1,3,1,1,2,3,2,3,45,204,173,0,5972480,0,6875648,0,3160064,0,5732352,0
2015-10-25 10:30:24 -0700,0,4728,4242,2370,1992,0,1,3,84,2,3,2,1,1,2,1,3,1,1,2,3,1,2,332,171,95,0,3012608,0,6084608,0,1386496,0,1497600,0
2015-10-25 10:30:34 -0700,0,5702,5302,2836,2013,0,1,4,85,3,3,2,1,1,3,1,4,1,1,2,4,2,3,220,331,258,0,7197184,0,10556416,0,7768064,0,6742016,0
2015-10-25 10:30:44 -0700,0,4366,3934,3019,2069,0,1,3,83,2,3,2,1,1,2,0,3,1,1,2,3,1,2,85,226,178,0,6536192,0,5921280,0,5413376,0,4385280,0
2015-10-25 10:30:54 -0700,0,5046,4622,2334,2217,0,1,4,83,3,3,2,1,1,2,1,4,1,1,2,4,2,2,182,214,168,0,10452992,0,4603904,0,1463296,0,4531712,0
2015-10-25 10:31:05 -0700,0,3873,3568,2489,2169,0,1,3,86,2,3,2,1,1,2,1,3,0,1,2,3,1,2,199,169,96,0,1260544,0,4067328,0,2422784,0,4325376,0
2015-10-25 10:31:15 -0700,0,4195,3869,1914,2217,0,1,3,84,2,3,1,1,1,1,0,3,1,1,2,3,1,2,107,121,92,0,2506240,0,2284032,0,883712,0,5946368,0
2015-10-25 10:31:25 -0700,0,5456,5063,2276,2404,0,1,4,86,2,3,2,1,1,2,1,4,1,1,2,4,1,2,277,170,136,0,4483584,0,3831296,0,6171648,0,2620416,0
2015-10-25 10:31:35 -0700,0,4033,3573,2583,2017,0,1,8,82,1,3,1,0,1,3,2,3,0,1,2,3,3,8,108,119,119,1228,1972224,44789760,7181312,47898624,4145152,31891456,1680896,29003776
2015-10-25 10:31:45 -0700,0,5141,4731,2483,2135,0,1,3,85,2,3,1,1,1,2,0,3,1,1,2,3,1,2,78,181,156,0,5575168,0,8476160,0,2511360,0,2994176,0
2015-10-25 10:31:55 -0700,0,4666,4200,2621,2317,0,1,4,85,3,3,3,2,1,3,1,4,1,1,2,4,2,3,263,190,152,0,7335936,0,1961472,0,2878464,0,6898688,0
2015-10-25 10:32:05 -0700,0,4230,3754,2902,2228,0,1,3,84,2,3,2,1,1,2,1,3,1,1,2,3,1,2,160,177,128,0,1520640,0,5163520,0,5731840,0,3642880,0
2015-10-25 10:32:15 -0700,0,4611,4260,3095,2183,0,1,3,85,2,3,2,1,1,2,1,3,0,1,2,3,1,2,178,166,117,0,4774400,0,2481664,0,4350976,0,3037184,0
2015-10-25 10:32:25 -0700,0,4588,4315,2280,2135,0,1,4,82,4,3,3,3,1,4,2,3,1,1,2,3,2,3,444,169,134,0,2049024,0,7213056,0,2818048,0,4770816,0
2015-10-25 10:32:35 -0700,0,5211,4930,2708,2471,0,1,7,86,2,3,1,0,1,3,2,3,1,1,2,3,4,7,63,267,201,928,4638208,31019008,10113536,37552128,8667648,25034752,1782272,22515712
2015-10-25 10:32:45 -0700,0,3930,3434,3182,2689,0,1,3,83,2,3,1,1,1,1,0,3,0,1,2,3,1,1,102,88,81,0,893952,0,4821504,0,3053056,0,1416192,0
2015-10-25 10:32:55 -0700,0,5296,4850,2154,2409,0,1,4,85,3,3,2,1,1,3,1,4,1,1,3,4,2,4,153,355,291,0,11015168,0,7550976,0,10000384,0,7873536,0
2015-10-25 10:33:05 -0700,0,3800,3412,3589,2375,0,1,5,83,2,3,1,0,1,2,3,3,0,1,2,3,4,5,58,127,107,525,3922944,23085056,2475008,18599936,5575680,9601024,1490432,14454784
2015-10-25 10:33:16 -0700,0,3996,3570,2489,2010,0,1,3,83,2,3,1,0,1,1,0,3,1,1,2,3,1,2,65,180,148,0,4746752,0,3257856,0,4590592,0,6004224,0
2015-10-25 10:33:26 -0700,0,5467,5130,2846,2404,0,1,8,86,2,3,2,1,1,3,3,4,1,1,2,4,4,8,135,245,183,722,6218240,26226688,10522624,26271744,2274304,15998976,3917312,21807104
2015-10-25 10:33:36 -0700,0,3745,3384,2117,2064,0,1,3,82,1,3,1,0,0,1,0,3,2,1,2,3,1,1,75,89,67,0,4004864,0,1507840,0,1504768,0,5099008,0
2015-10-25 10:33:46 -0700,0,5146,4783,2306,2076,0,1,6,84,2,3,2,0,1,2,3,4,1,1,2,4,4,6,87,320,214,628,7394816,23777280,6008832,24408064,7018496,15413248,6351872,15020032
2015-10-25 10:33:56 -0700,0,4406,3976,2194,2055,0,1,3,84,2,3,1,1,1,1,1,3,2,1,2,3,1,2,135,138,94,0,4342784,0,2994688,0,3312128,0,1207808,0
2015-10-25 10:34:06 -0700,0,4547,4087,2403,2140,0,1,4,84,2,3,2,1,1,2,1,4,1,1,2,4,2,3,105,268,251,0,8519168,0,13175808,0,4359168,0,5411328,0
2015-10-25 10:34:16 -0700,0,4418,3993,2844,2114,0,1,3,85,1,3,1,0,0,1,0,2,2,1,1,2,1,1,88,115,78,0,3189248,0,2546176,0,730112,0,3302912,0
2015-10-25 10:34:26 -0700,0,4385,3907,2270,2247,0,1,3,84,2,3,1,0,1,1,0,3,1,1,2,3,1,2,216,116,78,0,3855360,0,3351552,0,894464,0,1763840,0
2015-10-25 10:34:36 -0700,0,5213,4820,2121,2090,0,1,4,87,3,3,2,1,1,2,1,4,2,1,2,4,2,3,120,302,210,0,9926656,0,3623936,0,5982208,0,6807040,0
2015-10-25 10:34:46 -0700,0,4044,3606,2794,2154,0,1,3,83,2,3,1,0,1,1,0,3,0,1,2,3,1,2,72,134,116,0,6022656,0,5315072,0,1608704,0,1618432,0
2015-10-25 10:34:56 -0700,0,5144,4728,2365,2047,0,1,3,85,2,3,2,1,1,2,1,3,2,1,2,3,2,3,140,210,214,0,7250432,0,9327104,0,4862464,0,5433344,0
2015-10-25 10:35:06 -0700,0,4067,3650,3005,2208,0,1,3,84,2,3,1,1,1,1,0,3,1,1,2,3,1,2,92,162,125,0,4434944,0,3877376,0,6069760,0,1262592,0
2015-10-25 10:35:16 -0700,0,4127,3647,2325,2063,0,1,3,83,2,3,1,1,1,1,0,3,1,1,2,3,1,1,137,103,89,0,2462720,0,3299328,0,3077120,0,2329088,0
2015-10-25 10:35:27 -0700,0,5243,4886,2628,2071,0,1,3,86,2,3,1,1,1,2,0,3,1,1,2,3,1,2,113,168,150,0,3672064,0,7255552,0,1748480,0,6183936,0
2015-10-25 10:35:37 -0700,0,4142,3659,2419,2062,0,1,3,83,2,3,2,1,1,2,1,3,1,1,2,3,1,2,266,126,93,0,2934272,0,4944896,0,3453440,0,409600,0
2015-10-25 10:35:47 -0700,0,5034,4571,2529,2050,0,1,3,85,2,3,1,0,1,2,0,3,1,1,2,3,1,3,57,272,239,0,11273216,0,10148352,0,6531584,0,1997824,0
2015-10-25 10:35:57 -0700,0,4444,4018,2886,2346,0,1,3,84,2,3,1,0,1,1,0,3,1,1,2,3,1,2,97,222,164,0,5959168,0,9271296,0,3151872,0,2179584,0
2015-10-25 10:36:07 -0700,0,4602,4177,2671,2162,0,1,3,84,2,3,1,0,1,2,0,3,1,1,2,3,1,2,90,208,202,0,6634496,0,6396928,0,8237568,0,4091392,0
2015-10-25 10:36:17 -0700,0,4299,3952,3282,2115,0,1,5,84,2,3,1,0,1,1,2,3,1,1,2,3,2,5,120,108,101,696,5683200,22597632,3026944,22376448,3592704,21352448,374784,20783104
2015-10-25 10:36:27 -0700,0,4482,3964,2187,2074,0,1,3,83,2,3,2,1,1,2,1,3,1,1,2,3,1,2,137,131,85,0,4246016,0,1150976,0,1946112,0,3389440,0
2015-10-25 10:36:37 -0700,0,5033,4657,1981,2217,0,1,3,86,2,3,2,1,1,2,0,3,1,1,2,3,1,2,111,136,122,0,4093440,0,3199488,0,4519424,0,3499520,0
2015-10-25 10:36:47 -0700,0,4131,3764,2405,2065,0,1,7,83,2,3,2,1,1,1,0,3,1,1,2,3,1,2,100,166,91,0,5445632,0,1122816,0,3900416,0,1014272,0
2015-10-25 10:36:57 -0700,0,5363,4939,2171,2095,0,1,3,86,2,3,1,0,1,1,0,3,1,1,2,3,1,2,97,209,127,0,1968128,0,8815616,0,2851840,0,2276864,0
2015-10-25 10:37:07 -0700,0,4023,3573,3102,2252,0,1,3,83,2,3,1,0,1,1,0,3,1,1,2,3,1,2,47,113,118,0,2571264,0,3085824,0,3790336,0,5356032,0
2015-10-25 10:37:17 -0700,0,4078,3632,2823,2172,0,1,3,83,2,3,1,0,1,2,0,3,0,1,2,3,1,3,54,205,254,0,9822208,0,8965632,0,6701056,0,6349312,0
2015-10-25 10:37:28 -0700,0,5027,4685,2994,2319,0,1,3,85,2,3,1,1,1,1,1,3,0,1,2,3,1,2,198,112,77,0,5432320,0,2509824,0,1046528,0,685056,0
2015-10-25 10:37:38 -0700,0,4141,3688,2717,2104,0,1,11,83,2,3,1,1,1,5,4,3,1,1,2,3,5,11,134,158,123,1531,7495168,69414912,5348864,51068928,1092608,25817088,1550336,45133824
2015-10-25 10:37:48 -0700,0,5226,4880,3294,2150,0,1,3,86,2,3,2,1,1,2,0,3,1,1,2,3,1,2,131,243,198,0,8151552,0,8573952,0,4055040,0,4088320,0
2015-10-25 10:37:58 -0700,0,4420,4019,2974,2189,0,1,3,83,2,3,1,1,1,1,0,3,1,1,2,3,1,2,117,156,122,0,6151168,0,5002752,0,2964992,0,1216512,0
2015-10-25 10:38:08 -0700,0,4763,4293,2299,2146,0,1,3,84,2,3,2,1,1,2,1,3,1,1,2,3,1,3,203,171,131,168,4274176,13889536,3197952,6406144,4645888,282624,4334592,491520
2015-10-25 10:38:18 -0700,0,4275,3871,3108,2195,0,1,3,83,2,3,1,1,1,2,0,3,1,1,2,3,1,2,117,210,177,0,6118400,0,9656320,0,3700224,0,2702848,0
2015-10-25 10:38:28 -0700,0,4287,3828,2931,2112,0,1,7,83,2,3,2,1,1,4,3,3,0,1,2,3,4,7,182,105,125,793,5765120,28610560,3133440,27525120,4933120,20611072,1892864,22466560
2015-10-25 10:38:38 -0700,0,5129,4771,2806,2311,0,1,3,86,2,3,1,0,1,2,0,3,1,1,2,3,1,3,110,212,195,0,6694400,0,9967104,0,4986880,0,2742272,0
2015-10-25 10:38:48 -0700,0,4071,3657,2843,2271,0,1,3,82,1,3,1,0,1,1,0,3,1,1,2,3,1,2,67,102,158,0,2504704,0,8287744,0,4361216,0,4605952,0
2015-10-25 10:38:58 -0700,0,5339,4938,2564,1930,0,1,3,87,2,3,2,1,1,2,1,3,1,1,2,3,2,3,128,259,212,0,12394496,0,4327424,0,4774400,0,5037056,0
2015-10-25 10:39:08 -0700,0,4367,3897,2818,2393,0,1,3,84,2,3,1,1,0,1,1,3,1,1,2,3,1,1,206,72,23,0,702976,0,1052160,0,518144,0,671232,0
2015-10-25 10:39:18 -0700,0,4308,3874,1710,1913,0,1,3,84,2,3,1,0,1,1,0,3,1,1,2,3,1,2,48,251,195,0,6542848,0,5926400,0,9859584,0,2046976,0
2015-10-25 10:39:28 -0700,0,4742,4404,2786,2382,0,1,3,84,2,3,2,1,0,2,1,3,0,1,2,3,1,2,178,125,49,0,1145344,0,280576,0,1210880,0,3568128,0
2015-10-25 10:39:39 -0700,0,4344,3919,2328,2284,0,1,3,83,3,3,2,1,1,2,1,3,1,1,2,3,1,2,226,93,52,0,1489920,0,562176,0,2080768,0,2459648,0
2015-10-25 10:39:49 -0700,0,5364,4984,2500,2392,0,1,3,86,2,3,2,1,1,2,1,3,1,1,2,3,2,2,160,286,188,0,4011520,0,8376320,0,4293120,0,6918144,0
2015-10-25 10:39:59 -0700,0,4337,3905,2854,2238,0,1,3,84,2,3,1,0,1,1,0,3,1,1,2,3,1,1,53,129,117,0,6018560,0,2985984,0,751104,0,4922880,0
2015-10-25 10:40:09 -0700,0,4523,4126,2460,3256,0,1,68,84,2,3,1,0,1,1,68,5,1,1,2,5,55,4,95,217,174,0,5822976,0,4102656,0,2586112,0,9277440,0
2015-10-25 10:40:19 -0700,0,4082,3744,3088,3601,0,1,3,83,2,3,1,1,1,1,0,3,0,1,2,3,1,2,139,128,106,0,2562048,0,4859392,0,755712,0,5090816,0
