"","Baseline Read","File Auditing Read","DI File Auditing Read","DI Scaning Read","DI File Audit and Scan Read","Baseline Write","File Auditing Write","DI File Auditing Write","DI Scaning Write","DI File Audit and Scan Write"
"1","432","405","2708","1045","2364","432","580","2135","2403","1858"
"2","1517","2728","3181","2996","3080","492","1039","1917","2983","2393"
"3","2583","3396","3312","2908","3861","486","1920","1863","2508","1920"
"4","2147","3895","3351","2783","3996","459","1202","2059","2532","2483"
"5","2586","4527","3939","3454","4257","519","1038","1777","2754","2402"
"6","2560","4564","3855","2897","4017","475","1613","2139","2325","2465"
"7","2221","4284","3040","3239","4624","523","878","1633","2305","2407"
"8","2372","3722","4051","3017","3484","451","1459","1961","2513","2166"
"9","2447","4121","3521","3173","4539","487","900","1880","2175","2004"
"10","2527","4600","3858","3227","4436","469","1019","2131","2578","2061"
"11","2930","3757","4145","3194","3889","460","1330","2048","2535","2151"
"12","2673","5557","3062","3825","5288","499","1037","1841","2609","2354"
"13","2630","4367","3275","2969","3670","492","1407","2129","2366","2166"
"14","3111","4022","2545","3786","4024","466","1685","1876","2677","2269"
"15","2487","3723","2986","2747","3112","473","1911","1995","2169","2041"
"16","1785","3855","2693","2668","3470","475","2142","1973","2180","2133"
"17","1815","2619","3138","2547","3509","493","2310","1678","2558","2185"
"18","1690","3547","3771","2449","3944","461","2010","2345","2257","2009"
"19","2704","4379","3645","3436","5256","511","1148","2043","2337","2227"
"20","2311","4518","3894","3000","4363","481","2353","2159","2325","2337"
"21","2889","4784","3591","3681","4547","477","1120","2126","2453","2196"
"22","2731","5099","3170","3560","5228","533","1091","2112","2678","2279"
"23","2178","4361","3445","2936","4412","458","984","2221","2462","2149"
"24","1907","4356","3705","3259","4175","598","1719","1980","2725","2453"
"25","3408","3376","3799","3119","4310","472","794","2222","2640","2571"
"26","2659","4368","3311","3542","5633","477","731","1717","2724","2253"
"27","2330","5454","3303","3469","4314","488","1067","1966","2205","1964"
"28","2204","3619","4551","2820","4347","457","971","2005","2367","2079"
"29","2412","5006","2903","3820","5040","505","809","1880","2489","2130"
"30","2827","3770","2507","2912","4101","468","899","1933","2175","1959"
"31","1911","3292","2472","3182","3916","518","858","1855","2493","2262"
"32","2430","2747","3522","2156","3313","478","1079","1986","2109","1827"
"33","2281","3843","3615","3021","4030","495","921","1793","2255","2189"
"34","2286","3628","3235","2808","4119","489","1039","2326","2323","2045"
"35","2826","3438","3528","2847","4277","475","1349","2098","2392","2221"
"36","2767","4264","3432","3506","5093","518","1655","1714","2446","1903"
"37","3039","3932","3025","3654","3893","484","1716","1956","2132","1924"
"38","1710","4124","2944","3225","4746","482","1766","1970","2691","2322"
"39","2163","3488","2661","2695","3668","478","1757","1882","2140","2080"
"40","2661","3111","2957","2603","3888","453","1693","1883","2334","2152"
"41","2499","3276","3085","3039","4567","515","3228","2098","2638","2291"
"42","2023","4030","3291","2765","4461","462","22577","2218","2310","2193"
"43","2452","4592","3316","3331","5421","550","6634","1698","2599","2497"
"44","2357","3986","3596","2692","3817","444","3559","2013","2450","1833"
"45","2253","4136","2798","2893","4816","528","2524","1854","2396","2254"
"46","2326","4008","2428","2766","3771","486","1606","1889","2377","2048"
"47","1714","3029","2343","2740","3621","672","1248","1972","2342","2114"
"48","2163","2871","2338","2510","3301","499","1191","1900","2432","2196"
"49","1829","2618","3315","2389","3789","474","959","2148","2356","2153"
"50","2354","4819","3578","3265","4870","482","1294","1868","2896","2310"
"51","3007","4877","3761","3221","4773","510","995","3081","2355","1933"
"52","2595","4753","3531","2926","4631","455","907","4958","2429","2191"
"53","2909","5152","3384","3505","4551","509","737","3378","2513","2410"
"54","2564","4518","3015","2945","4572","443","1079","2009","2351","2102"
"55","2333","3773","2667","3333","4538","501","934","1785","2757","2280"
"56","2022","3406","3473","2920","3714","471","1018","1926","2646","2133"
"57","2349","4322","3055","3155","5065","504","725","1798","2527","2336"
"58","2569","4793","3086","3022","4231","461","753","2026","2098","2007"
"59","2295","3528","3220","2956","4819","467","708","1914","2523","2518"
"60","2650","4685","2933","4171","4421","492","837","1865","6383","2135"
"61","2548","3764","2984","2725","4277","489","762","2026","3703","2235"
"62","2113","3333","2388","3696","3357","464","1203","2039","3004","2354"
"63","1628","3414","2617","2418","3242","464","1426","1946","2305","1958"
"64","1963","2590","2640","2825","3666","467","1408","2027","2275","2692"
"65","1973","3321","3353","3117","3926","478","1784","2281","2744","2221"
"66","2726","2899","3650","2929","4629","526","1593","2040","2327","2044"
"67","2490","4769","2740","3821","5316","510","1125","1543","2397","3984"
"68","2346","3628","3638","3237","4393","449","1430","2313","2364","8333"
"69","2381","4148","3612","3088","5089","494","1399","1755","2386","2619"
"70","2576","4292","2793","3004","4248","496","1194","2377","2430","2260"
"71","1865","4148","3207","3169","4803","461","1314","2151","2539","2459"
"72","2362","4263","2782","3056","4166","496","1265","1790","2419","2015"
"73","2127","3698","3888","3037","3951","478","1549","2210","2343","2108"
"74","2344","4587","3417","3820","5266","473","1185","1683","2798","2235"
"75","2798","5013","3701","3555","3930","475","1003","2026","2174","1970"
"76","2650","4978","4167","3523","5792","478","920","1928","2374","2113"
"77","2970","6258","4424","4317","5103","489","958","2079","2663","2242"
"78","2687","6963","5235","3783","6039","461","1218","2093","2099","2175"
"79","3696","7900","4425","5837","7828","527","785","1846","2803","2319"
"80","3793","6605","4396","4791","7363","464","992","2021","2441","1949"
"81","3323","6374","3986","4916","6833","504","887","1601","2342","2323"
"82","2767","5351","3629","3673","4555","472","815","1790","2186","2001"
"83","2877","4065","3678","3568","5907","479","673","1812","2364","2176"
"84","3058","5495","3389","3716","5223","502","733","1663","2517","2093"
"85","2352","4302","2907","3537","4075","502","859","1938","2045","2071"
"86","2232","3930","3092","3321","4386","479","930","2067","2536","2314"
"87","2348","3759","3385","2616","3887","467","1152","1878","2252","2156"
"88","2569","3644","3489","3574","4281","474","1057","1852","2512","2305"
"89","2355","4356","3301","3334","4508","492","928","1835","2368","2193"
"90","2551","4117","3526","3162","4316","463","1119","2153","2214","2036"
"91","2190","4789","2917","3914","5171","511","1056","1729","2554","2456"
"92","2295","3894","3172","3024","4727","446","1189","1988","2368","2130"
"93","2177","3569","2698","2508","3917","510","817","1688","2416","2238"
"94","1764","3195","2795","2573","3085","469","863","1876","2463","2014"
"95","1402","2113","3261","3518","4027","487","655","1887","2324","2396"
"96","2125","4045","3515","2575","4771","541","676","1944","2184","2069"
"97","2752","3848","3794","4104","4643","468","713","1816","2593","2143"
"98","2391","4561","2930","2976","5289","493","1238","1771","2071","2309"
"99","2553","4639","3459","3695","4368","484","1102","1858","2427","2104"
"100","2522","4096","4131","3662","4667","494","983","2024","2675","2336"
"101","2549","4656","3355","3556","4563","488","1119","1919","2494","2085"
"102","1767","3477","3328","3455","4087","461","1172","2106","2414","2003"
"103","2630","4197","3136","3649","4569","516","1042","1736","2315","2218"
"104","2187","3686","3941","4144","3995","445","1233","2105","2550","2174"
"105","2557","4370","3216","3549","4950","497","1084","1584","2310","2451"
"106","2325","5293","3275","3803","4860","480","2912","1938","2562","1943"
"107","2712","3903","2698","3622","4643","474","1320","1702","2545","2267"
"108","2639","5424","2434","3300","4822","489","1611","1844","2204","2159"
"109","2999","4166","2607","2593","3226","475","1405","2045","2636","2148"
"110","1742","2950","3150","2474","3471","471","913","2041","2054","2055"
"111","1830","2337","3523","3454","2574","484","951","1883","2338","1945"
"112","1810","3153","3123","3554","3998","456","1198","1846","2431","2195"
"113","2671","4368","3765","3416","4239","502","786","2088","2231","1997"
"114","2488","4616","3694","4114","4737","473","1131","1712","2451","2166"
"115","2833","5452","3247","2805","5443","541","883","2144","2283","2114"
"116","2987","4279","2474","3279","3878","459","904","1986","2410","1891"
"117","2299","4295","3028","2629","4344","532","890","1938","2353","2244"
"118","1748","3451","3373","2562","3246","487","950","1740","2314","2038"
"119","2091","3294","3186","3487","4371","484","974","1775","2501","2086"
"120","2462","4191","4206","2804","4057","513","948","2092","2194","2053"
