Timestamp,SMB1 Ops/sec,SMB2 Ops/sec,VSPfs00 Ops/sec,VSPfs00 CIFS Read Resp Time,VSPfs00 CIFS Write Resp Time,NVRAM Allocs,Bossock Fibers,MFB,MMB,NibRX Busy,NibTX Busy,NibTCP Busy,NICC Busy,FDP Busy,TDP Busy,FSA Busy,WLOG Busy,MBI Busy,WDIR Busy,WFILE Busy,WLOG Busy,OBJ Busy,SI Busy,Eth RX,Eth TX,FC RX,FC TX,Port1 Disk Read,Port1 Disk Write,Port2 Disk Read,Port2 Disk Write,Port3 Disk Read,Port3 Disk Write,Port4 Disk Read,Port4 Disk Write
2015-10-24 13:49:03 -0700,0,6244,6197,3283,632,0,1,4,53,3,3,3,2,1,3,1,3,1,1,3,3,2,4,386,362,177,0,5473792,0,3276800,0,6735360,0,6708224,0
2015-10-24 13:49:13 -0700,0,9535,9253,3061,616,0,1,16,56,5,4,5,3,2,5,2,6,1,2,4,6,4,16,373,427,420,2531,13458944,103710720,16936448,92737536,9687552,56946688,12421120,63016960
2015-10-24 13:49:23 -0700,0,5870,5839,2844,595,0,1,4,50,3,3,3,1,1,3,1,4,1,1,3,4,2,4,125,309,283,0,10818560,0,7577088,0,8570368,0,8533504,0
2015-10-24 13:49:33 -0700,0,6966,9040,2839,613,0,1,5,51,3,3,3,2,1,4,1,4,1,2,3,4,3,5,481,395,312,0,11119104,0,15692288,0,8538624,0,3758592,0
2015-10-24 13:49:43 -0700,0,7861,6094,3120,547,0,1,16,57,3,3,3,1,1,3,1,4,1,2,3,4,3,16,406,331,323,2468,12333568,103055360,14162432,83935232,6074368,62439424,7841280,59076608
2015-10-24 13:49:53 -0700,0,5961,5746,3887,627,0,1,4,51,3,3,3,2,1,3,1,3,1,1,3,3,2,4,378,290,258,0,7738368,0,10330112,0,5928448,0,8298496,0
2015-10-24 13:50:03 -0700,0,9637,9011,3797,643,0,1,8,63,5,5,5,2,2,5,2,5,1,2,4,5,4,8,218,656,566,0,20990976,0,20251648,0,21456896,0,8151552,0
2015-10-24 13:50:13 -0700,0,6490,6162,3735,555,0,1,7,50,4,4,4,2,1,4,2,4,1,2,3,4,3,7,540,352,256,579,10418176,19042304,8598016,18726912,8420352,18296832,4594688,16318464
2015-10-24 13:50:23 -0700,0,8689,8867,3067,640,0,1,6,57,4,4,4,2,2,4,2,5,1,2,4,5,3,6,499,494,452,0,10396160,0,23378944,0,12848128,0,9989120,0
2015-10-24 13:50:33 -0700,0,6501,6037,3538,568,0,1,4,55,3,3,3,2,1,3,1,3,1,1,3,3,2,4,366,285,219,0,10329600,0,4562944,0,4326912,0,8199680,0
2015-10-24 13:50:44 -0700,0,6452,6282,3426,543,0,1,5,50,5,4,5,3,1,4,2,4,1,2,3,4,3,5,419,254,292,0,8558080,0,13276672,0,7362560,0,7326720,0
2015-10-24 13:50:54 -0700,0,8515,7787,4175,621,0,1,5,60,3,3,3,1,2,3,1,4,1,2,3,4,2,5,171,743,438,0,13639168,0,15817216,0,14704128,0,10690560,0
2015-10-24 13:51:04 -0700,0,5973,6069,3366,578,0,1,10,50,3,3,2,1,1,3,1,4,1,2,3,4,3,10,198,325,280,1493,16183296,63160320,8269312,58798080,4577792,29585408,5982720,35094528
2015-10-24 13:51:14 -0700,0,9124,8225,3537,613,0,1,5,55,3,3,2,0,2,3,1,5,1,2,4,5,3,5,158,510,531,0,14282752,0,17740288,0,18792448,0,15634944,0
2015-10-24 13:51:24 -0700,0,6152,5662,4025,632,0,1,4,50,3,3,2,1,1,2,1,3,1,2,3,3,2,4,198,357,328,0,10517504,0,11709952,0,9924608,0,8942080,0
2015-10-24 13:51:34 -0700,0,7399,8464,2915,561,0,1,11,50,4,3,3,1,2,3,1,5,1,3,4,5,4,11,161,446,418,1317,10522624,56963072,21138944,46149632,12502528,29880320,8121344,31698944
