"","Baseline Read","File Auditing Read","DI File Auditing Read","DI Scaning Read","DI File Audit and Scan Read","Baseline Write","File Auditing Write","DI File Auditing Write","DI Scaning Write","DI File Audit and Scan Write"
"1","402","3283","4935","2174","2183","608","632","3148","2818","1738"
"2","2589","3061","6104","6770","4554","1509","616","3707","5082","3455"
"3","3017","2844","3963","4148","5346","1242","595","2226","2936","3769"
"4","3562","2839","5955","5603","3735","1040","613","3407","4155","2653"
"5","4087","3120","4916","5384","5235","1105","547","2339","3560","3763"
"6","3610","3887","4607","4924","4395","897","627","2817","3731","2424"
"7","3909","3797","4588","5084","5058","1081","643","3034","3770","3415"
"8","3105","3735","4036","3856","4284","835","555","2323","3263","2599"
"9","3638","3067","5076","5078","4380","938","640","3264","3978","3275"
"10","3278","3538","4564","4158","4804","857","568","2550","3326","3149"
"11","3910","3426","5645","5274","4751","922","543","3258","3758","2877"
"12","4290","4175","5155","5232","5525","913","621","2417","3689","3560"
"13","3787","3366","4989","5257","4505","859","578","2862","3632","2441"
"14","3104","3537","4952","4594","4610","987","613","2943","4273","3105"
"15","3364","4025","4413","3650","4036","825","632","2463","2980","2934"
"16","2834","2915","4424","3922","3781","858","561","3272","3954","2533"
"17","2623","2668","4205","3711","4401","853","642","2694","3305","3713"
"18","3043","2474","4914","4304","4100","709","545","2981","3416","2712"
"19","4095","3517","5143","5781","4949","959","636","3072","3968","3406"
"20","3449","3228","5179","4032","4250","715","563","2625","3111","3130"
"21","3786","3448","5668","5572","5006","848","595","3224","4148","2708"
"22","3766","4194","4265","4491","5497","753","636","2940","3446","3552"
"23","3423","3246","4865","4349","4261","757","563","3100","4078","2899"
"24","3993","3221","4362","4324","4899","784","625","2879","3582","3840"
"25","3662","2576","5008","4678","3962","715","559","3151","3317","2696"
"26","3944","3027","5461","5629","5053","850","600","3011","3942","3266"
"27","3511","3198","4536","3981","5098","752","662","2310","2909","2832"
"28","3816","2982","4991","4863","4276","858","545","3259","3931","2677"
"29","3535","3698","4139","4564","4997","849","635","2246","3091","3509"
"30","3073","3419","4490","4340","4261","739","543","2874","3406","2299"
"31","2560","3512","3464","3968","4166","842","614","2888","3588","3071"
"32","2606","2638","3659","3603","3557","693","545","2368","2995","2789"
"33","2820","2880","4901","5128","3395","806","587","3272","3888","2721"
"34","3522","2895","3983","4300","4048","707","588","2357","3072","2670"
"35","3272","2338","5037","4880","4824","740","571","2869","3749","3431"
"36","4253","3706","4937","4903","4354","776","649","2409","3484","2669"
"37","3561","4241","4669","4422","4577","5990","656","3086","3241","3032"
"38","3850","4016","4401","4638","4266","12388","608","2743","3934","2992"
"39","3193","3398","3875","3436","3578","683","616","2192","2820","2672"
"40","2926","3162","4624","4461","4544","759","573","3314","3940","3707"
"41","3521","3357","3467","3304","3826","758","616","2290","3234","2513"
"42","3086","2711","4898","4363","4702","681","547","2857","3509","3265"
"43","4254","4071","4468","4669","4249","798","617","2884","3743","2901"
"44","3163","3760","4626","4073","4629","658","537","2575","3038","2837"
"45","4096","3708","4910","4884","4177","786","621","3289","3924","3096"
"46","3005","3654","5104","3423","3367","684","612","5742","3081","2932"
"47","2743","3211","3802","4079","3781","796","576","3060","3758","3356"
"48","2823","2304","3495","3651","3289","728","633","2665","3435","2541"
"49","2155","2251","4598","4234","4435","650","568","3380","3569","3476"
"50","4177","3007","5094","5357","5078","755","602","2787","4043","2904"
"51","3507","3427","4783","3984","4545","666","638","2213","2927","2684"
"52","4283","2917","4934","5510","5302","722","553","3308","4290","3818"
"53","3683","3891","4346","4303","4881","730","665","2368","3277","3672"
"54","3231","3401","4503","4397","4985","645","537","2858","3537","9678"
"55","3882","3910","4574","4056","4218","767","637","2929","3671","6583"
"56","3433","3015","4288","3898","4238","614","580","2662","3162","3027"
"57","3896","3258","5112","5351","5065","755","611","3254","3977","3168"
"58","3643","3982","4325","3980","4239","657","570","2368","3158","2713"
"59","3121","3435","5683","5145","4983","725","553","3237","3969","3413"
"60","4341","3897","4263","4144","4168","693","627","2438","3153","2350"
"61","3274","3894","4636","4397","4044","650","561","3523","3798","3507"
"62","2664","4722","3703","3854","3480","716","604","3027","3600","2852"
"63","2847","4468","3310","3346","3622","636","607","2345","5115","2566"
"64","3118","5473","4310","4712","4334","705","576","3190","9195","3739"
"65","3261","7142","4352","4333","3951","696","618","2306","9797","2474"
"66","3301","5237","4937","4589","4926","617","552","3333","3730","3352"
"67","4095","4816","4565","5193","4851","769","650","2937","4023","2722"
"68","3527","4010","4439","4267","4635","609","546","2676","3073","3249"
"69","3642","4284","4986","5104","4583","728","615","3394","4032","3210"
"70","3631","4314","4319","3779","4277","634","601","2560","2901","2664"
"71","3396","2989","4846","5121","5274","689","613","3261","3829","3465"
"72","3912","3806","4102","4409","4418","744","635","2403","3143","2445"
"73","3133","3320","5090","4960","4941","645","641","3005","3618","3255"
"74","4200","3726","5112","4793","4607","708","610","2835","3846","2757"
"75","3492","3870","4945","4118","4382","612","697","2444","2987","2785"
"76","4844","3895","6464","6358","6642","719","654","3340","4173","3820"
"77","4779","3879","5782","5272","5540","726","641","2315","2913","2313"
