"","Baseline Read","File Auditing Read","DI File Auditing Read","DI Scaning Read","DI File Audit and Scan Read","Baseline Write","File Auditing Write","DI File Auditing Write","DI Scaning Write","DI File Audit and Scan Write"
"78","5555","3711","6629","6955","7899","658","645","3106","3696","3416"
"79","7585","3388","6907","7219","6624","780","650","2635","3667","2751"
"80","5292","2256","6828","5882","6501","623","597","2573","3007","2921"
"81","6421","3344","6151","5922","5874","755","689","3038","3741","2782"
"82","4915","3621","4368","4918","5171","651","592","2564","3192","2600"
"83","4283","3180","5654","5811","5276","696","609","3312","3839","3437"
"84","4224","4232","4913","4708","4197","756","681","2331","3158","2347"
"85","3702","3502","4989","5199","4882","689","616","3352","3544","3519"
"86","4064","3964","4777","3840","4048","793","664","2851","2892","2946"
"87","3495","3420","4187","5305","4265","692","632","2411","4103","2785"
"88","4197","3793","4855","4092","5011","754","807","3382","2823","3816"
"89","3762","3406","4477","5163","4310","686","647","2399","3495","2442"
"90","3927","3395","5398","4899","5259","645","823","3100","3590","3555"
"91","4681","5243","4514","4607","4576","762","643","2890","2849","2646"
"92","3817","3841","4425","4126","4856","625","578","2687","3636","3018"
"93","3041","4661","4175","3027","4021","740","688","2965","3049","2749"
"94","2288","4258","3235","4619","3074","632","657","2351","3904","2749"
"95","2670","3408","5164","3904","5116","717","607","3188","3067","3220"
"96","4395","2613","4182","5042","4221","689","667","2224","3609","2493"
"97","4229","2287","5721","5656","5058","665","567","3166","3582","3320"
"98","4328","3283","4899","4354","5444","719","721","2871","2793","3075"
"99","3816","3779","4645","5548","4523","615","606","2611","4318","3094"
"100","4000","3681","5391","4907","5109","719","639","3292","3064","3770"
"101","4256","3866","4671","4379","4472","698","617","2303","3694","2448"
"102","3736","3576","4650","4379","4923","675","582","3055","3440","3322"
"103","4174","3889","4435","4423","4059","835","659","2747","3202","2510"
"104","3562","2691","5059","5524","5637","657","581","2509","3853","3147"
"105","5149","3236","6032","4359","5594","721","683","3185","3067","2994"
"106","3886","3522","4725","5144","4472","655","635","2522","3912","2799"
"107","3846","3070","5091","4702","5375","774","580","3252","3071","3344"
"108","4169","4336","4890","4216","4008","717","664","2364","3759","2532"
"109","4025","3797","3971","3528","3823","712","595","3062","3278","3457"
"110","2263","3589","3588","2993","3569","723","611","2749","2994","2769"
"111","2430","1734","3943","5309","4151","681","0","2377","4279","2837"
"112","3577","1599","4982","4669","4907","719","0","3492","2948","3394"
"113","4434","1666","5810","4900","4646","723","0","3049","3672","2611"
"114","4277","0","5151","4545","5257","652","0","2794","3492","3410"
"115","4357","27748","4703","4747","4886","710","18989","2858","2974","2590"
"116","3923","66264","4158","4382","5108","597","1906","2980","3672","3202"
"117","3665","53746","3857","3666","4306","820","32134","2697","3058","2940"
"118","2496","10011","4894","4944","3836","574","6749","3484","3764","2945"
"119","3263","1391","4447","4148","4993","711","2152","2287","2852","3089"
"120","3653","277","5938","5518","4093","812","0","3170","3738","2210"
