Timestamp,SMB1 Ops/sec,SMB2 Ops/sec,VSPfs00 Ops/sec,VSPfs00 CIFS Read Resp Time,VSPfs00 CIFS Write Resp Time,NVRAM Allocs,Bossock Fibers,MFB,MMB,NibRX Busy,NibTX Busy,NibTCP Busy,NICC Busy,FDP Busy,TDP Busy,FSA Busy,WLOG Busy,MBI Busy,WDIR Busy,WFILE Busy,WLOG Busy,OBJ Busy,SI Busy,Eth RX,Eth TX,FC RX,FC TX,Port1 Disk Read,Port1 Disk Write,Port2 Disk Read,Port2 Disk Write,Port3 Disk Read,Port3 Disk Write,Port4 Disk Read,Port4 Disk Write
2015-10-23 22:43:05 -0700,0,1840,2651,402,608,0,1,9,20,5,5,5,3,2,6,2,7,0,3,5,7,6,9,269,183,458,0,15186432,0,19354112,0,12699648,0,10024960,0
2015-10-23 22:43:15 -0700,0,8215,7071,2589,1509,0,1,4,51,3,3,3,1,1,2,1,4,1,2,3,4,3,4,439,298,214,0,6945792,0,9492992,0,5643776,0,4708352,0
2015-10-23 22:43:25 -0700,0,6411,6119,3017,1242,0,1,4,48,3,3,3,2,1,3,1,4,1,2,3,4,3,4,336,354,250,0,6081536,0,11466240,0,2838528,0,10918400,0
2015-10-23 22:43:35 -0700,0,9206,9495,3562,1040,0,1,18,62,4,4,4,2,2,5,4,7,1,3,5,7,8,18,317,712,484,2711,18772992,100663296,17882624,103419904,14354944,67112960,9563648,67768320
2015-10-23 22:43:46 -0700,0,5883,5762,4087,1105,0,1,4,46,2,3,2,1,1,2,1,3,1,2,3,3,3,4,193,323,292,0,14709760,0,11582976,0,5168128,0,5161472,0
2015-10-23 22:43:56 -0700,0,8008,8653,3610,897,0,1,19,58,5,5,5,2,3,5,1,6,1,3,5,6,5,19,395,804,651,2750,23400960,106426368,15278592,108433408,20058624,65540096,22649856,63471616
2015-10-23 22:44:06 -0700,0,7687,6276,3909,1081,0,1,6,52,5,5,5,3,2,5,2,4,1,2,4,4,4,6,602,344,365,0,10158592,0,15060992,0,11464192,0,9050624,0
2015-10-23 22:44:16 -0700,0,6529,5866,3105,835,0,1,4,49,3,3,2,1,1,2,1,4,1,2,3,4,3,3,191,307,212,0,9608704,0,5712896,0,4550656,0,6734848,0
2015-10-23 22:44:26 -0700,0,9020,8245,3638,938,0,1,5,57,4,3,4,2,2,4,1,5,1,2,4,5,3,5,450,572,341,0,13295104,0,17692672,0,7007232,0,4703232,0
2015-10-23 22:44:36 -0700,0,6751,6837,3278,857,0,1,6,53,6,5,6,4,1,6,3,5,1,2,4,5,4,6,734,375,286,0,11677696,0,14333440,0,5272064,0,4559872,0
2015-10-23 22:44:46 -0700,0,8295,9222,3910,922,0,1,8,56,4,4,3,2,3,5,1,5,1,3,5,5,5,8,252,626,694,0,32263168,0,22819840,0,12777472,0,18952192,0
2015-10-23 22:44:56 -0700,0,6725,5797,4290,913,0,1,12,49,3,3,3,2,1,4,3,3,1,1,3,3,5,12,320,259,334,1822,11601920,67309568,7821824,67112960,12871168,43118592,9579520,50327552
2015-10-23 22:45:06 -0700,0,7166,7430,3787,859,0,1,13,52,6,5,6,3,2,6,4,7,1,3,5,7,7,13,682,492,453,1297,18506240,50327552,17249280,46141440,11799552,33558528,9078272,32157696
2015-10-23 22:45:16 -0700,0,8288,7580,3104,987,0,1,5,55,4,4,5,3,1,4,2,4,1,2,3,4,3,4,632,331,272,0,8726528,0,10961920,0,5371392,0,8981504,0
2015-10-23 22:45:26 -0700,0,6501,6075,3364,825,0,1,4,49,3,3,3,2,1,3,1,4,1,2,3,4,2,4,375,285,225,0,6659584,0,9787904,0,6652416,0,5049344,0
2015-10-23 22:45:36 -0700,0,9213,9533,2834,858,0,1,13,62,6,5,7,4,2,6,4,7,1,3,5,7,6,13,502,384,292,1761,7773184,62914560,15154688,68067328,8297984,47321088,5354496,41943040
2015-10-23 22:45:46 -0700,0,6101,6049,2623,853,0,1,5,48,3,3,3,2,1,3,1,4,1,2,4,4,3,5,328,175,323,0,10407424,0,13541376,0,10348544,0,6138880,0
2015-10-23 22:45:56 -0700,0,7488,8262,3043,709,0,1,8,56,3,3,3,1,2,4,1,5,1,3,4,5,4,8,161,466,492,177,20696064,6062080,23070720,5472256,10432000,4947968,7356416,5677056
2015-10-23 22:46:06 -0700,0,7686,6427,4095,959,0,1,5,54,3,3,3,2,2,4,2,4,1,2,4,4,3,5,378,353,350,0,6480384,0,7100416,0,17333760,0,12890624,0
2015-10-23 22:46:16 -0700,0,6577,6345,3449,715,0,1,5,51,3,3,3,2,2,3,1,4,1,2,3,4,3,5,346,370,360,0,21312000,0,10099712,0,4869120,0,8822784,0
2015-10-23 22:46:26 -0700,0,9002,8358,3786,848,0,1,5,56,3,3,3,1,2,3,1,4,1,2,3,4,3,5,355,403,449,0,16881152,0,18337280,0,12222464,0,8739840,0
2015-10-23 22:46:36 -0700,0,6839,6831,3766,753,0,1,6,53,5,5,6,4,1,6,3,5,1,2,4,5,4,6,903,368,294,0,13948928,0,10016256,0,5256192,0,7651840,0
2015-10-23 22:46:46 -0700,0,8450,9138,3423,757,0,1,13,57,4,4,4,2,3,5,1,6,1,2,4,6,4,13,201,610,652,1831,28128768,73240576,21678592,76091392,18141184,42205184,13608448,37388288
2015-10-23 22:46:56 -0700,0,6676,5538,3993,784,0,1,3,48,2,3,2,1,1,2,1,3,1,1,2,3,2,3,166,326,258,0,6708224,0,11511808,0,6103552,0,7975424,0
2015-10-23 22:47:07 -0700,0,7525,8091,3662,715,0,1,7,53,5,4,5,2,2,5,2,6,1,3,5,6,4,7,545,726,505,0,18196480,0,16696832,0,18046464,0,10209280,0
2015-10-23 22:47:17 -0700,0,7785,6813,3944,850,0,1,3,50,2,3,2,1,1,2,1,3,1,1,2,3,2,3,148,398,260,0,11163648,0,7516672,0,3613696,0,10294272,0
2015-10-23 22:47:27 -0700,0,6119,6013,3511,752,0,1,4,48,2,3,2,1,1,3,1,4,1,2,3,4,2,4,192,418,288,0,6555136,0,11888128,0,2508800,0,15126016,0
