"","x"
"482","3069"
"483","2918"
"484","3070"
"485","3359"
"486","3348"
"487","2930"
"488","2627"
"489","2999"
"490","2958"
"491","2646"
"492","2822"
"493","2618"
"494","2688"
"495","3018"
"496","2627"
"497","3338"
"498","2676"
"499","3208"
"500","2719"
"501","2448"
"502","1970"
"503","1801"
"504","1929"
"505","1690"
"506","1516"
"507","1759"
"508","1724"
"509","1804"
"510","1724"
"511","1730"
"512","1766"
"513","1847"
"514","1734"
"515","2027"
"516","1708"
"517","1943"
"518","1814"
"519","1932"
"520","1760"
"521","1811"
"522","1796"
"523","1939"
"524","1751"
"525","1754"
"526","1647"
"527","1626"
"528","1649"
"529","1679"
"530","1706"
"531","1911"
"532","1660"
"533","1767"
"534","1864"
"535","2125"
"536","1998"
"537","2034"
"538","1779"
"539","2054"
"540","1607"
"541","1763"
"542","1624"
"543","67467"
"544","1288"
"545","1540"
"546","1758"
"547","1603"
"548","1737"
"549","1993"
"550","1563"
"551","1790"
"552","1728"
"553","1884"
"554","1516"
"555","1806"
"556","1910"
"557","1816"
"558","1835"
"559","1627"
"560","1681"
"561","1782"
"562","1692"
"563","1735"
"564","1570"
"565","1736"
"566","1549"
"567","1698"
"568","1576"
"569","1672"
"570","1763"
"571","1750"
"572","1690"
"573","1746"
"574","1828"
"575","1800"
"576","1646"
"577","1778"
"578","1542"
"579","1808"
"580","1773"
"581","1827"
"582","1608"
"583","1741"
"584","1682"
"585","1628"
"586","1812"
"587","1717"
"588","1539"
"589","1920"
"590","1549"
"591","1756"
"592","1798"
"593","1770"
"594","1802"
"595","1847"
"596","1721"
"597","1660"
"598","1599"
"599","1797"
"600","1762"
