Timestamp,SMB1 Ops/sec,SMB2 Ops/sec,VSPfs00 Ops/sec,VSPfs00 CIFS Read Resp Time,VSPfs00 CIFS Write Resp Time,NVRAM Allocs,Bossock Fibers,MFB,MMB,NibRX Busy,NibTX Busy,NibTCP Busy,NICC Busy,FDP Busy,TDP Busy,FSA Busy,WLOG Busy,MBI Busy,WDIR Busy,WFILE Busy,WLOG Busy,OBJ Busy,SI Busy,Eth RX,Eth TX,FC RX,FC TX,Port1 Disk Read,Port1 Disk Write,Port2 Disk Read,Port2 Disk Write,Port3 Disk Read,Port3 Disk Write,Port4 Disk Read,Port4 Disk Write
2015-10-24 20:00:18 -0700,0,7032,4477,4935,3148,0,1,6,79,4,3,4,2,2,4,1,6,1,2,4,6,3,5,567,552,345,0,9752576,0,10392576,0,14839808,0,8344064,0
2015-10-24 20:00:28 -0700,0,7479,8125,6104,3707,0,1,4,91,3,3,3,2,1,3,1,4,1,1,3,4,2,4,315,281,238,0,11420160,0,5664768,0,7095296,0,5657088,0
2015-10-24 20:00:38 -0700,0,6551,5697,3963,2226,0,1,4,88,3,3,2,1,1,3,1,4,1,1,3,4,2,4,228,386,287,0,10416128,0,9164800,0,6745088,0,9672192,0
2015-10-24 20:00:48 -0700,0,10136,9615,5955,3407,0,1,5,97,4,3,4,2,1,4,1,5,1,2,4,5,3,5,521,384,309,0,12995072,0,11571200,0,11844608,0,2323968,0
2015-10-24 20:00:58 -0700,0,6497,5950,4916,2339,0,1,5,88,5,4,5,3,1,4,2,4,1,1,3,4,3,4,699,308,230,0,11605504,0,7375872,0,7950336,0,1934336,0
2015-10-24 20:01:08 -0700,0,9741,9184,4607,2817,0,1,7,95,5,5,5,2,3,5,1,6,1,2,4,6,3,7,440,774,604,0,29588992,0,22643712,0,9249792,0,14081536,0
2015-10-24 20:01:18 -0700,0,7379,6781,4588,3034,0,1,4,91,4,3,3,1,1,3,1,4,1,2,3,4,2,3,259,236,191,0,7393280,0,7361536,0,4396544,0,4759040,0
2015-10-24 20:01:28 -0700,0,7710,6985,4036,2323,0,1,6,90,4,4,3,2,2,4,1,5,1,2,4,5,3,6,434,587,478,0,19058176,0,14759424,0,10634752,0,15420416,0
2015-10-24 20:01:38 -0700,0,7504,7463,5076,3264,0,1,4,92,4,3,4,2,1,4,2,4,1,2,3,4,2,4,698,340,286,0,16987136,0,5930496,0,3366912,0,9521152,0
2015-10-24 20:01:49 -0700,0,7472,6641,4564,2550,0,1,16,90,2,3,2,1,1,2,1,4,1,2,2,4,2,16,331,209,202,2750,5010432,100384768,4389376,104644608,7446528,71835648,8413696,66973696
2015-10-24 20:01:59 -0700,0,10039,9504,5645,3258,0,1,6,96,4,4,4,1,2,4,1,5,1,2,4,5,3,6,504,615,548,0,22296576,0,23964160,0,7689728,0,14603776,0
2015-10-24 20:02:09 -0700,0,6448,5787,5155,2417,0,1,4,89,3,3,3,2,1,4,2,4,1,1,3,4,2,4,471,279,207,0,5514240,0,8554496,0,6169600,0,5704704,0
2015-10-24 20:02:19 -0700,0,10032,8854,4989,2862,0,1,7,96,5,5,5,2,2,5,1,6,1,2,4,6,3,7,485,531,558,0,27791360,0,13190144,0,15913984,0,12855808,0
2015-10-24 20:02:29 -0700,0,6599,6854,4952,2943,0,1,5,90,4,3,4,2,1,3,2,4,1,1,3,4,2,4,498,304,205,0,5683200,0,6322176,0,8377344,0,5271552,0
